MonthlySpend,PurchaseFrequency
245.76792592419616,9
370.3747568968755,3
232.97939727679815,2
259.3526636951026,5
187.0801638021012,3
490.99839846774097,4
65.55037394654943,1
104.38206000447899,10
390.8375175120807,7
225.53599484821154,10
166.61303365293162,10
330.32078500073857,3
205.63816708431347,10
340.1693865691628,10
112.06787860540416,4
133.50188490996092,7
209.15211373687887,8
69.95873425470494,9
491.99568244677783,2
434.42712611890613,10
79.62543813021753,1
110.64097071778838,2
50.741125605216936,10
312.026057209451,3
331.97438663749995,6
95.6725355613028,8
196.87848596590072,4
365.50457371477825,10
215.57263779769198,3
323.38826615687964,2
216.1262162085355,6
121.64248031150949,10
95.82334244828317,9
83.45429786510846,4
461.13166082815576,5
394.06265120607475,10
134.29375417467963,9
333.82909839841994,2
393.0656720366193,6
313.3031581875037,6
362.72396717407713,3
139.14765975024898,2
471.6804608751501,3
228.57613838456135,4
456.24100040406165,1
479.395037972389,1
221.56086499502467,6
190.0287341312094,6
66.59287814811331,1
339.39793881173244,10
484.14111971115614,8
429.7440169410096,3
434.2071774913466,2
261.8770891479032,10
81.83562360616469,5
171.93313211433718,10
186.9511546088389,8
428.32721214590003,8
340.55816358382594,10
491.4987816657422,6
53.97290104098701,4
491.2259813121301,10
466.0841980556934,5
389.7374544268296,5
219.80521955020964,7
341.41856340501005,5
481.78082465298536,5
77.02602045987709,2
156.3313360988164,9
182.9684261383219,8
252.21870000782738,1
453.9105163621971,2
479.9824283447828,1
345.46729327790496,1
486.856773943913,7
332.105299277489,5
245.7031801081008,3
304.03574463036733,8
137.96190104786638,3
236.5600041139346,8
450.0655107642792,4
105.53407604447712,2
60.1168343606476,3
161.16635500540963,4
470.2411902865686,6
68.17749053812904,4
253.29670645606134,10
232.79026273614264,4
91.61509297031114,3
352.0755731864672,8
341.8282320421974,6
303.9938560305667,9
184.9478827151494,6
149.11381865363614,4
385.6471242523673,1
425.6299987370594,9
276.87470351609704,4
160.65677382036614,1
424.9833568018022,9
291.28049515021047,4
95.46864841472782,5
251.39616714436988,9
363.96782183734945,1
324.1773425027676,10
387.6712828329707,2
410.8115254036237,5
390.5243225940676,5
342.62688007875033,6
128.42339818843857,3
177.1799572940339,10
109.12266051849518,8
194.70595559064355,5
353.81350402420935,8
205.4455727930265,6
129.44566631893707,7
450.83206906921475,10
127.99040989609705,5
289.68980334714837,2
316.11869855370645,5
275.2748731072252,6
228.0279392521107,2
360.65611667299214,9
133.0854981735756,6
424.18718523378215,5
198.87559034875122,10
159.04187402939937,10
404.72320045500385,7
145.56248419547882,10
210.94011428466598,8
136.96494889315503,3
409.56479469737945,8
255.72532390746326,1
81.09540054587698,8
486.3388944553577,2
372.24735088514313,8
486.284264434108,7
258.98930043868893,5
222.0211061392778,4
300.05687306248694,5
208.03054689202733,2
460.59650642874567,5
437.6167787737306,2
162.52689871991078,4
270.9069249878536,9
432.1944220039026,10
50.23328174311971,5
296.92726777822315,1
439.29669532590003,4
224.61350330496438,9
464.9110598700132,3
146.03574964990185,6
121.53966954444998,10
262.81665733966713,3
183.74953833015513,5
174.60937615077665,9
222.1752931389375,10
449.02568663642353,5
324.51661829459675,2
432.51282094555916,10
244.67156201162715,6
101.71186512041665,8
99.4667669687694,7
154.34073404843818,2
55.36370241328895,5
438.933974561235,4
371.2263151821619,8
73.08862611267578,3
314.77148660153784,10
360.05932189611525,6
383.69215918041317,9
485.7450403322863,3
471.2465365265326,4
253.52551988818826,5
278.1109730054085,4
99.3955794222943,3
122.69255984548562,6
412.5676733025564,4
280.95550108899374,7
89.90739625873078,5
165.08636620542464,6
457.52702404379977,8
248.9873434564881,3
378.36880840980547,8
334.1418396543231,2
85.76978334982172,10
317.4449080805111,2
101.98322062584202,6
454.8091173833137,7
193.24529926054103,5
473.1010163376274,3
93.31208280986684,2
286.56421137777346,9
256.9552728928178,3
282.24377533385564,2
142.07851509648356,9
200.32616111405576,6
385.83511076233566,3
342.72919210208386,9
356.07742371006697,1
99.79867346842113,10
114.76835898732627,4
294.440386343613,9
204.0524076665518,6
499.0691939204821,5
141.12262892147103,3
184.9038720342523,8
258.6704363854369,9
446.46908325123246,6
99.05100427239219,2
67.65511659597263,7
201.59104744256004,1
224.8707868183226,2
356.0466459038807,3
164.42459571209517,2
401.20053215990805,8
156.22789781977218,6
82.46272894308302,8
244.84476323599495,10
224.6671057682503,9
331.4575171921856,7
274.7511053955218,9
246.21594707314588,3
486.09595896649995,3
171.65613350389827,10
198.62688758700764,5
77.74138785563909,7
244.15196828631187,10
374.01723553641006,5
466.47844562331585,9
88.31690132206725,1
293.9374484544958,5
359.924821433611,3
296.8200155151608,9
172.97856034915782,7
421.8192247946431,8
422.415711882706,3
434.499106310496,2
206.54445015770642,1
153.36358872874501,4
411.84947128008093,4
383.5376840015523,10
102.0111740200302,9
201.32525251555248,1
60.940301923904606,9
166.09592125483144,3
163.04360819857902,2
293.54727200718963,4
247.92649294433534,4
200.79559802763643,1
233.11343690677523,8
203.00500262195084,1
93.5118299208869,7
420.24848962305805,6
434.8852967108102,3
257.27269616613194,4
143.78569415033724,1
498.41167444874344,7
428.88165885323866,3
476.58004356893383,9
405.60872099447334,7
431.3222422869428,8
185.42050809062334,9
307.3690228348563,2
360.2934531087947,3
420.0219359567624,1
84.74609071050651,1
398.39836261918646,8
427.4007784613236,5
408.7807223034454,7
322.5986971322475,10
433.1007019089307,10
57.355629775760264,3
152.95958043603105,3
218.3433315455887,2
211.47748859373195,10
369.2114910485636,10
205.8921990588788,2
124.20783815476938,8
304.7088340058744,4
461.6510070812955,3
106.04073049541228,5
150.54372101663316,10
312.89117041724387,1
148.60326524126344,3
316.13613588200263,3
80.28569724318031,3
442.4409855645519,8
100.33493353142423,4
303.56201424408016,1
185.71426481928265,10
102.0898276298695,2
50.81563596689274,1
171.0924698811248,10
169.6824084973769,3
344.45747826646425,2
378.96010837124606,3
444.28636888038017,5
473.1308331441132,2
249.09367165115444,5
297.6407943402765,6
188.7066933368539,5
104.18507106373741,10
189.35672054862064,2
438.2547368771067,1
418.1150074271493,10
375.4066814962613,5
333.0720822412315,1
70.16261122285027,8
79.99143717356843,4
98.76678619187194,2
474.541103556525,6
384.36796602453694,7
294.1218429823583,8
123.22480789580445,8
236.77825672383548,7
188.0238974584043,7
397.84370312288036,1
92.49219180111194,8
158.18130904318036,5
467.97430567758215,7
265.14965067448543,4
459.00046021238586,6
171.26394508533917,5
58.338476229988764,4
486.4692398571092,4
423.0094340489079,10
280.18302426710056,8
372.9890794499374,4
195.89457550269935,2
493.33440611642715,7
261.8580945917782,7
268.473317080209,9
230.0951569834616,9
157.323707149723,3
155.81100470051223,3
397.0937351386642,8
74.26312612136583,3
201.66478621377806,4
386.81250683014434,5
488.35910242887473,3
207.77547836646303,4
344.25243597606976,7
430.24467864287936,10
255.06864004213887,8
262.83363652010235,10
291.35681062029005,2
283.3250229359885,8
484.3545309449906,10
461.7787632605657,1
131.3901419593418,1
128.58109113752658,1
227.67714286911092,10
224.60928650968728,4
174.6045034270599,8
431.7502651155298,5
411.284242994526,2
263.856361511761,5
328.5705364008164,4
128.03924274417287,2
268.15592655256637,5
171.3567248402119,10
356.9605115324514,8
221.18851825603807,5
57.159867034573324,1
245.43332446772334,9
215.81787605422068,8
181.24644896665046,2
328.84307893280504,10
224.88515671020684,5
456.8275945548006,10
209.2718077017539,3
99.99789384508051,4
69.67937376487048,6
406.74541401468815,4
251.48920926166426,1
433.8804027358629,7
417.16372780166677,5
448.99315995714176,10
154.35041053371498,5
467.19961064892834,3
315.52747397958643,6
88.9955906069682,10
340.5951211465578,6
378.33853334033006,10
337.8313315596758,5
409.48157671368307,9
376.2075981087101,1
145.8582146415232,5
316.7727206569317,3
249.8545583657578,3
76.62093537176678,4
189.46840207884412,7
457.140304986141,8
137.29481982619524,1
322.3976153765749,4
134.57770415953206,7
262.14981882044475,5
73.21145934165699,6
325.62079852633843,10
362.26677714809466,10
